cohort,gene,present,in_pam50
SCANB,ADAT2,TRUE,FALSE
SCANB,ADAT3,TRUE,FALSE
SCANB,ADCK1,TRUE,FALSE
SCANB,ADCK2,TRUE,FALSE
SCANB,ADCK5,TRUE,FALSE
SCANB,ADCY1,TRUE,FALSE
SCANB,ADCY10,TRUE,FALSE
SCANB,ADCY10P1,TRUE,FALSE
SCANB,ADCY2,TRUE,FALSE
SCANB,ADCY3,TRUE,FALSE
SCANB,ADCY4,TRUE,FALSE
SCANB,ADCY5,TRUE,FALSE
SCANB,ADCY6,TRUE,FALSE
SCANB,ADCY7,TRUE,FALSE
SCANB,ADCY8,TRUE,FALSE
SCANB,ADCY9,TRUE,FALSE
SCANB,ADCYAP1,TRUE,FALSE
SCANB,ADCYAP1R1,TRUE,FALSE
SCANB,ADD1,TRUE,FALSE
SCANB,ADD2,TRUE,FALSE
SCANB,ADD3,TRUE,FALSE
SCANB,ADD3-AS1,TRUE,FALSE
SCANB,ADGB,TRUE,FALSE
SCANB,ADGRA1,TRUE,FALSE
SCANB,ADGRA2,TRUE,FALSE
SCANB,ADGRA3,TRUE,FALSE
SCANB,ADGRB1,TRUE,FALSE
SCANB,ADGRB2,TRUE,FALSE
SCANB,ADGRB3,TRUE,FALSE
SCANB,ADGRD1,TRUE,FALSE
SCANB,ADGRD2,TRUE,FALSE
SCANB,ADGRE1,TRUE,FALSE
SCANB,ADGRE2,TRUE,FALSE
SCANB,ADGRE3,TRUE,FALSE
SCANB,ADGRE4P,TRUE,FALSE
SCANB,ADGRE5,TRUE,FALSE
SCANB,ADGRF1,TRUE,FALSE
SCANB,ADGRF2P,TRUE,FALSE
SCANB,ADGRF3,TRUE,FALSE
SCANB,ADGRF4,TRUE,FALSE
SCANB,ADGRF5,TRUE,FALSE
SCANB,ADGRG1,TRUE,FALSE
SCANB,ADGRG2,TRUE,FALSE
SCANB,ADGRG3,TRUE,FALSE
SCANB,ADGRG4,TRUE,FALSE
SCANB,ADGRG5,TRUE,FALSE
SCANB,ADGRG6,TRUE,FALSE
SCANB,ADGRG7,TRUE,FALSE
SCANB,ADGRL1,TRUE,FALSE
SCANB,ADGRL2,TRUE,FALSE
SCANB,ADGRL3,TRUE,FALSE
SCANB,ADGRL4,TRUE,FALSE
SCANB,ADGRV1,TRUE,FALSE
SCANB,ADH1A,TRUE,FALSE
SCANB,ADH1B,TRUE,FALSE
SCANB,ADH1C,TRUE,FALSE
SCANB,ADH4,TRUE,FALSE
SCANB,ADH5,TRUE,FALSE
SCANB,ADH6,TRUE,FALSE
SCANB,ADH7,TRUE,FALSE
SCANB,ADHFE1,TRUE,FALSE
SCANB,ADI1,TRUE,FALSE
SCANB,ADIG,TRUE,FALSE
SCANB,ADIPOQ,TRUE,FALSE
SCANB,ADIPOQ-AS1,TRUE,FALSE
SCANB,ADIPOR1,TRUE,FALSE
SCANB,ADIPOR2,TRUE,FALSE
SCANB,ADIRF,TRUE,FALSE
SCANB,ADISSP,TRUE,FALSE
SCANB,ADK,TRUE,FALSE
SCANB,ADM,TRUE,FALSE
SCANB,ADM2,TRUE,FALSE
SCANB,ADM5,TRUE,FALSE
SCANB,ADNP,TRUE,FALSE
SCANB,ADNP2,TRUE,FALSE
SCANB,ADO,TRUE,FALSE
SCANB,ADORA1,TRUE,FALSE
SCANB,ADORA2A,TRUE,FALSE
SCANB,ADORA2A-AS1,TRUE,FALSE
SCANB,ADORA2B,TRUE,FALSE
SCANB,ADORA3,TRUE,FALSE
SCANB,ADPGK,TRUE,FALSE
SCANB,ADPGK-AS1,TRUE,FALSE
SCANB,ADPRH,TRUE,FALSE
SCANB,ADPRHL1,TRUE,FALSE
SCANB,ADPRM,TRUE,FALSE
SCANB,ADPRS,TRUE,FALSE
SCANB,ADRA1A,TRUE,FALSE
SCANB,ADRA1B,TRUE,FALSE
SCANB,ADRA1D,TRUE,FALSE
SCANB,ADRA2A,TRUE,FALSE
SCANB,ADRA2B,TRUE,FALSE
SCANB,ADRA2C,TRUE,FALSE
SCANB,ADRB1,TRUE,FALSE
SCANB,ADRB2,TRUE,FALSE
SCANB,ADRB3,TRUE,FALSE
SCANB,ADRM1,TRUE,FALSE
SCANB,ADSL,TRUE,FALSE
SCANB,ADSS1,TRUE,FALSE
SCANB,ADSS2,TRUE,FALSE
SCANB,ADTRP,TRUE,FALSE
SCANB,AEBP1,TRUE,FALSE
SCANB,AEBP2,TRUE,FALSE
SCANB,AEN,TRUE,FALSE
SCANB,AFAP1,TRUE,FALSE
SCANB,AFAP1-AS1,TRUE,FALSE
SCANB,AFAP1L1,TRUE,FALSE
SCANB,AFAP1L2,TRUE,FALSE
SCANB,AFDN,TRUE,FALSE
SCANB,AFDN-DT,TRUE,FALSE
SCANB,AFF1,TRUE,FALSE
SCANB,AFF2,TRUE,FALSE
SCANB,AFF3,TRUE,FALSE
SCANB,AFF4,TRUE,FALSE
SCANB,AFG1L,TRUE,FALSE
SCANB,AFG2A,TRUE,FALSE
SCANB,AFG2B,TRUE,FALSE
SCANB,AFG3L1P,TRUE,FALSE
SCANB,AFG3L2,TRUE,FALSE
SCANB,AFM,TRUE,FALSE
SCANB,AFMID,TRUE,FALSE
SCANB,AFP,TRUE,FALSE
SCANB,AFTPH,TRUE,FALSE
SCANB,AGA,TRUE,FALSE
SCANB,AGAP1,TRUE,FALSE
SCANB,AGAP11,TRUE,FALSE
SCANB,AGAP12P,TRUE,FALSE
SCANB,AGAP2,TRUE,FALSE
SCANB,AGAP2-AS1,TRUE,FALSE
SCANB,AGAP3,TRUE,FALSE
SCANB,AGAP4,TRUE,FALSE
SCANB,AGAP5,TRUE,FALSE
SCANB,AGAP6,TRUE,FALSE
SCANB,AGAP7P,TRUE,FALSE
SCANB,AGAP9,TRUE,FALSE
SCANB,AGBL1,TRUE,FALSE
SCANB,AGBL1-AS1,TRUE,FALSE
SCANB,AGBL2,TRUE,FALSE
SCANB,AGBL3,TRUE,FALSE
SCANB,AGBL4,TRUE,FALSE
SCANB,AGBL4-IT1,TRUE,FALSE
SCANB,AGBL5,TRUE,FALSE
SCANB,AGBL5-AS1,TRUE,FALSE
SCANB,AGER,TRUE,FALSE
SCANB,AGFG1,TRUE,FALSE
SCANB,AGFG2,TRUE,FALSE
SCANB,AGGF1,TRUE,FALSE
SCANB,AGK,TRUE,FALSE
SCANB,AGL,TRUE,FALSE
SCANB,AGMAT,TRUE,FALSE
SCANB,AGMO,TRUE,FALSE
SCANB,AGO1,TRUE,FALSE
SCANB,AGO2,TRUE,FALSE
SCANB,AGO3,TRUE,FALSE
SCANB,AGO4,TRUE,FALSE
SCANB,AGPAT1,TRUE,FALSE
SCANB,AGPAT2,TRUE,FALSE
SCANB,AGPAT3,TRUE,FALSE
SCANB,AGPAT4,TRUE,FALSE
SCANB,AGPAT4-IT1,TRUE,FALSE
SCANB,AGPAT5,TRUE,FALSE
SCANB,AGPS,TRUE,FALSE
SCANB,AGR2,TRUE,FALSE
SCANB,AGR3,TRUE,FALSE
SCANB,AGRN,TRUE,FALSE
SCANB,AGRP,TRUE,FALSE
SCANB,AGT,TRUE,FALSE
SCANB,AGTPBP1,TRUE,FALSE
SCANB,AGTR1,TRUE,FALSE
SCANB,AGTR2,TRUE,FALSE
SCANB,AGTRAP,TRUE,FALSE
SCANB,AGXT,TRUE,FALSE
SCANB,AGXT2,TRUE,FALSE
SCANB,AHCTF1,TRUE,FALSE
SCANB,AHCTF1P1,TRUE,FALSE
SCANB,AHCY,TRUE,FALSE
