cohort,gene,present,in_pam50
GSE20685,APH1B,TRUE,FALSE
GSE20685,API5,TRUE,FALSE
GSE20685,APIP,TRUE,FALSE
GSE20685,APLNR,TRUE,FALSE
GSE20685,APLP1,TRUE,FALSE
GSE20685,APLP2,TRUE,FALSE
GSE20685,APMAP,TRUE,FALSE
GSE20685,APOA1,TRUE,FALSE
GSE20685,APOA2,TRUE,FALSE
GSE20685,APOA4,TRUE,FALSE
GSE20685,APOB,TRUE,FALSE
GSE20685,APOBEC1,TRUE,FALSE
GSE20685,APOBEC2,TRUE,FALSE
GSE20685,APOBEC3A,TRUE,FALSE
GSE20685,APOBEC3B,TRUE,FALSE
GSE20685,APOBEC3C,TRUE,FALSE
GSE20685,APOBEC3F,TRUE,FALSE
GSE20685,APOBEC3G,TRUE,FALSE
