sample_id,PC1,PC2,PC3,mahal_dist,is_outlier,pct_var_pc1,pct_var_pc2,pct_var_pc3,n_genes_pca
MB-0136,2.283707077979043,7.523051968748972,-1.665102331944919,1.6089414259262798,FALSE,16.89,7.97,4.38,500
MB-0138,6.824750458705706,8.414912739821387,1.725692511354278,2.464838330155489,FALSE,16.89,7.97,4.38,500
MB-0139,2.4226170723379448,12.935351654774376,8.529600998616571,7.589767370997008,FALSE,16.89,7.97,4.38,500
MB-0140,9.217675588051149,1.4978764350772409,1.6253641009582807,1.1828487139559538,FALSE,16.89,7.97,4.38,500
MB-0142,7.732733164961402,-3.6183705393363303,5.044422371214149,2.1978568574302524,FALSE,16.89,7.97,4.38,500
MB-0143,5.4285300129772205,1.130334868980033,-2.374955483687485,0.6383790634883628,FALSE,16.89,7.97,4.38,500
MB-0144,4.05873697286727,5.005760421497718,-5.491292287456245,2.2001377219462857,FALSE,16.89,7.97,4.38,500
MB-0145,5.517271340682227,12.846309663655406,4.553137157269454,5.448959671272861,FALSE,16.89,7.97,4.38,500
MB-0146,9.75530818529663,-6.619900530184013,-1.3358448458804713,2.3082118003000036,FALSE,16.89,7.97,4.38,500
MB-0147,6.6261889189469345,-6.220786271902497,2.316164573598215,1.736048744626706,FALSE,16.89,7.97,4.38,500
MB-0148,-10.919955646902455,0.2979137224030072,-8.486783134599028,4.700983941293404,FALSE,16.89,7.97,4.38,500
MB-0149,-16.354019118268166,-8.805264452103406,13.58578797478519,13.535906054688569,FALSE,16.89,7.97,4.38,500
MB-0150,-20.223092206289294,-2.7177601548179076,1.404793122545371,5.117602193879557,FALSE,16.89,7.97,4.38,500
MB-0151,6.483356756494084,-2.2627349424880157,0.21250987891923515,0.6282513414919838,FALSE,16.89,7.97,4.38,500
MB-0152,-8.401788119507637,0.33181729024046075,-8.766288480233333,4.345522577320482,FALSE,16.89,7.97,4.38,500
MB-0153,-9.15928920619756,-4.322852082412173,6.933381946419333,3.656125084409819,FALSE,16.89,7.97,4.38,500
MB-0154,4.734742556111902,8.41385353938628,4.220609930857557,2.855377313506488,FALSE,16.89,7.97,4.38,500
MB-0155,-4.7920970211324745,15.517038251983296,0.28602280181710965,6.319582153323638,FALSE,16.89,7.97,4.38,500
